word,frequency,has_special_chars,has_nums,has_contraction
well,75,False,False,False
war,75,False,False,False
both,75,False,False,False
your,75,False,False,False
many,74,False,False,False
part,73,False,False,False
They,72,False,False,False
among,72,False,False,False
it.,72,True,False,False
"people,",72,True,False,False
hope,71,False,False,False
If,71,False,False,False
long,70,False,False,False
some,70,False,False,False
work,70,False,False,False
human,70,False,False,False
political,70,False,False,False
same,70,False,False,False
know,69,False,False,False
laws,69,False,False,False
right,69,False,False,False
people.,69,True,False,False
President,68,False,False,False
There,68,False,False,False
within,68,False,False,False
whole,66,False,False,False
foreign,66,False,False,False
before,65,False,False,False
first,64,False,False,False
let,63,False,False,False
out,63,False,False,False
policy,63,False,False,False
world.,63,True,False,False
interests,62,False,False,False
necessary,61,False,False,False
he,61,False,False,False
law,61,False,False,False
principles,60,False,False,False
powers,59,False,False,False
For,59,False,False,False
better,58,False,False,False
always,58,False,False,False
high,58,False,False,False
common,58,False,False,False
over,57,False,False,False
support,57,False,False,False
Let,57,False,False,False
justice,57,False,False,False
duties,56,False,False,False
far,56,False,False,False
life,55,False,False,False
find,55,False,False,False
could,55,False,False,False
nor,54,False,False,False
believe,53,False,False,False
less,52,False,False,False
proper,52,False,False,False
progress,51,False,False,False
give,51,False,False,False
secure,51,False,False,False
full,51,False,False,False
present,51,False,False,False
still,51,False,False,False
way,50,False,False,False
where,50,False,False,False
need,50,False,False,False
come,50,False,False,False
here,50,False,False,False
ought,50,False,False,False
whose,50,False,False,False
confidence,49,False,False,False
history,49,False,False,False
A,49,False,False,False
ever,49,False,False,False
purpose,49,False,False,False
might,49,False,False,False
liberty,49,False,False,False
see,48,False,False,False
system,48,False,False,False
means,48,False,False,False
Executive,48,False,False,False
country.,47,True,False,False
like,47,False,False,False
day,46,False,False,False
found,46,False,False,False
important,45,False,False,False
cannot,45,False,False,False
party,45,False,False,False
equal,44,False,False,False
"peace,",44,True,False,False
too,44,False,False,False
"and,",44,True,False,False
meet,43,False,False,False
"country,",43,True,False,False
them.,43,True,False,False
even,42,False,False,False
given,42,False,False,False
become,42,False,False,False
toward,42,False,False,False
very,42,False,False,False
business,42,False,False,False
take,42,False,False,False
up,42,False,False,False
greater,42,False,False,False
These,42,False,False,False
Union,42,False,False,False
since,41,False,False,False
Federal,41,False,False,False
stand,41,False,False,False
God,41,False,False,False
"Government,",41,True,False,False
am,41,False,False,False
faith,40,False,False,False
As,40,False,False,False
No,40,False,False,False
revenue,40,False,False,False
force,40,False,False,False
office,40,False,False,False
subject,40,False,False,False
continue,40,False,False,False
respect,39,False,False,False
yet,39,False,False,False
civil,39,False,False,False
her,39,False,False,False
Nation,39,False,False,False
man,39,False,False,False
With,39,False,False,False
protection,39,False,False,False
interest,39,False,False,False
influence,39,False,False,False
future,38,False,False,False
ourselves,38,False,False,False
true,37,False,False,False
place,37,False,False,False
peace.,37,True,False,False
help,37,False,False,False
fellow,37,False,False,False
also,37,False,False,False
use,37,False,False,False
old,37,False,False,False
seek,37,False,False,False
did,37,False,False,False
"States,",37,True,False,False
things,36,False,False,False
economic,36,False,False,False
being,36,False,False,False
oath,36,False,False,False
That,36,False,False,False
institutions,36,False,False,False
administration,36,False,False,False
When,36,False,False,False
"it,",36,True,False,False
called,36,False,False,False
today,35,False,False,False
state,35,False,False,False
"war,",35,True,False,False
making,35,False,False,False
live,35,False,False,False
control,35,False,False,False
service,35,False,False,False
security,35,False,False,False
bring,34,False,False,False
order,34,False,False,False
times,34,False,False,False
"us,",34,True,False,False
My,34,False,False,False
together,34,False,False,False
strong,34,False,False,False
local,34,False,False,False
until,34,False,False,False
again,34,False,False,False
question,33,False,False,False
ask,33,False,False,False
beyond,33,False,False,False
general,33,False,False,False
condition,33,False,False,False
maintain,33,False,False,False
exercise,33,False,False,False
itself,33,False,False,False
democracy,33,False,False,False
trade,33,False,False,False
strength,33,False,False,False
while,33,False,False,False
responsibility,33,False,False,False
another,33,False,False,False
last,33,False,False,False
States.,32,True,False,False
once,32,False,False,False
"world,",32,True,False,False
sense,32,False,False,False
domestic,32,False,False,False
then,32,False,False,False
"nation,",32,True,False,False
promise,32,False,False,False
done,32,False,False,False
"them,",32,True,False,False
either,31,False,False,False
Americans,31,False,False,False
about,31,False,False,False
character,31,False,False,False
America's,31,True,False,True
cause,31,False,False,False
taken,31,False,False,False
honor,31,False,False,False
highest,31,False,False,False
whether,31,False,False,False
love,30,False,False,False
call,30,False,False,False
land,30,False,False,False
essential,30,False,False,False
action,30,False,False,False
act,30,False,False,False
two,30,False,False,False
State,30,False,False,False
fellow-citizens,30,True,False,False
go,30,False,False,False
moral,30,False,False,False
defense,29,False,False,False
aid,29,False,False,False
increase,29,False,False,False
greatest,29,False,False,False
prosperity,29,False,False,False
individual,29,False,False,False
themselves,29,False,False,False
effort,29,False,False,False
does,29,False,False,False
"citizens,",29,True,False,False
Government.,29,True,False,False
past,29,False,False,False
Mr.,29,True,False,False
"however,",29,True,False,False
placed,29,False,False,False
care,29,False,False,False
course,29,False,False,False
having,29,False,False,False
thought,28,False,False,False
after,28,False,False,False
legislation,28,False,False,False
measures,28,False,False,False
further,28,False,False,False
principle,28,False,False,False
wisdom,28,False,False,False
authority,28,False,False,False
promote,28,False,False,False
form,28,False,False,False
"liberty,",27,True,False,False
certain,27,False,False,False
sufficient,27,False,False,False
"power,",27,True,False,False
look,27,False,False,False
America.,27,True,False,False
share,27,False,False,False
constitutional,27,False,False,False
international,27,False,False,False
carry,26,False,False,False
throughout,26,False,False,False
favor,26,False,False,False
union,26,False,False,False
home,26,False,False,False
Chief,26,False,False,False
nothing,26,False,False,False
"you,",26,True,False,False
opinion,26,False,False,False
end,26,False,False,False
He,26,False,False,False
change,26,False,False,False
millions,26,False,False,False
already,26,False,False,False
regard,26,False,False,False
children,25,False,False,False
whom,25,False,False,False
others,25,False,False,False
desire,25,False,False,False
purposes,25,False,False,False
relations,25,False,False,False
century,25,False,False,False
faithful,25,False,False,False
protect,25,False,False,False
lead,25,False,False,False
"fellow-citizens,",24,True,False,False
circumstances,24,False,False,False
reason,24,False,False,False
several,24,False,False,False
independent,24,False,False,False
say,24,False,False,False
importance,24,False,False,False
put,24,False,False,False
citizen,24,False,False,False
passed,24,False,False,False
commerce,24,False,False,False
determined,24,False,False,False
wish,24,False,False,False
governments,24,False,False,False
peaceful,24,False,False,False
questions,24,False,False,False
"Union,",24,True,False,False
preserve,24,False,False,False
blessings,24,False,False,False
efforts,24,False,False,False
period,24,False,False,False
few,24,False,False,False
Republic,24,False,False,False
large,24,False,False,False
executive,23,False,False,False
trust,23,False,False,False
By,23,False,False,False
"Constitution,",23,True,False,False
produce,23,False,False,False
"time,",23,True,False,False
honorable,23,False,False,False
powerful,23,False,False,False
constant,23,False,False,False
little,23,False,False,False
"government,",23,True,False,False
nations.,23,True,False,False
members,23,False,False,False
tariff,23,False,False,False
religious,23,False,False,False
advance,23,False,False,False
opportunity,23,False,False,False
body,23,False,False,False
safety,23,False,False,False
Union.,23,True,False,False
discharge,23,False,False,False
face,23,False,False,False
His,23,False,False,False
forward,22,False,False,False
keep,22,False,False,False
nation.,22,True,False,False
united,22,False,False,False
"nations,",22,True,False,False
degree,22,False,False,False
require,22,False,False,False
hold,22,False,False,False
serve,22,False,False,False
parties,22,False,False,False
danger,22,False,False,False
fair,22,False,False,False
alone,22,False,False,False
set,22,False,False,False
occasion,22,False,False,False
hands,22,False,False,False
example,22,False,False,False
effect,22,False,False,False
judgment,22,False,False,False
instrument,22,False,False,False
race,22,False,False,False
task,22,False,False,False
industrial,22,False,False,False
military,22,False,False,False
heart,22,False,False,False
happy,21,False,False,False
social,21,False,False,False
While,21,False,False,False
defend,21,False,False,False
"America,",21,True,False,False
expect,21,False,False,False
moment,21,False,False,False
economy,21,False,False,False
complete,21,False,False,False
seen,21,False,False,False
how,21,False,False,False
knowledge,21,False,False,False
resources,21,False,False,False
thus,21,False,False,False
conditions,21,False,False,False
view,21,False,False,False
freedom.,21,True,False,False
extended,21,False,False,False
All,21,False,False,False
afford,21,False,False,False
different,21,False,False,False
progress.,21,True,False,False
sacred,21,False,False,False
war.,21,True,False,False
"freedom,",21,True,False,False
treaty,21,False,False,False
permanent,21,False,False,False
portion,21,False,False,False
him,21,False,False,False
success,21,False,False,False
fear,21,False,False,False
want,21,False,False,False
welfare,20,False,False,False
accept,20,False,False,False
consideration,20,False,False,False
feeling,20,False,False,False
mind,20,False,False,False
money,20,False,False,False
"therefore,",20,True,False,False
"too,",20,True,False,False
South,20,False,False,False
"will,",20,True,False,False
rather,20,False,False,False
From,20,False,False,False
left,20,False,False,False
enough,20,False,False,False
solemn,20,False,False,False
clear,20,False,False,False
sound,20,False,False,False
Almighty,20,False,False,False
conduct,20,False,False,False
pledge,20,False,False,False
popular,20,False,False,False
speak,20,False,False,False
expression,20,False,False,False
labor,20,False,False,False
peoples,20,False,False,False
year,20,False,False,False
So,20,False,False,False
build,20,False,False,False
ready,19,False,False,False
"years,",19,True,False,False
objects,19,False,False,False
"justice,",19,True,False,False
back,19,False,False,False
distinguished,19,False,False,False
limits,19,False,False,False
story,19,False,False,False
women,19,False,False,False
lives,19,False,False,False
extent,19,False,False,False
mere,19,False,False,False
remain,19,False,False,False
rule,19,False,False,False
dignity,19,False,False,False
wise,19,False,False,False
responsible,19,False,False,False
demand,19,False,False,False
established,19,False,False,False
legislative,19,False,False,False
earth,19,False,False,False
experience,19,False,False,False
measure,19,False,False,False
provided,19,False,False,False
created,19,False,False,False
equally,19,False,False,False
life.,19,True,False,False
future.,18,True,False,False
neither,18,False,False,False
merely,18,False,False,False
down,18,False,False,False
due,18,False,False,False
"century,",18,True,False,False
preservation,18,False,False,False
leave,18,False,False,False
remember,18,False,False,False
acts,18,False,False,False
problems,18,False,False,False
courage,18,False,False,False
result,18,False,False,False
"is,",18,True,False,False
you.,18,True,False,False
single,18,False,False,False
General,18,False,False,False
"ago,",18,True,False,False
longer,18,False,False,False
world's,18,True,False,True
forms,18,False,False,False
What,18,False,False,False
bear,18,False,False,False
necessity,18,False,False,False
us.,18,True,False,False
honest,18,False,False,False
fully,18,False,False,False
"law,",18,True,False,False
countries,18,False,False,False
obligations,18,False,False,False
enlightened,18,False,False,False
reach,18,False,False,False
population,18,False,False,False
community,18,False,False,False
Such,18,False,False,False
safe,18,False,False,False
turn,18,False,False,False
object,18,False,False,False
perfect,18,False,False,False
secured,18,False,False,False
obligation,18,False,False,False
material,18,False,False,False
attempt,17,False,False,False
ideals,17,False,False,False
settled,17,False,False,False
often,17,False,False,False
known,17,False,False,False
attention,17,False,False,False
"home,",17,True,False,False
society,17,False,False,False
real,17,False,False,False
prevent,17,False,False,False
soon,17,False,False,False
arms,17,False,False,False
days,17,False,False,False
bless,17,False,False,False
dangers,17,False,False,False
election,17,False,False,False
able,17,False,False,False
across,17,False,False,False
equality,17,False,False,False
"together,",17,True,False,False
during,17,False,False,False
harmony,17,False,False,False
revolution,17,False,False,False
almost,17,False,False,False
law.,17,True,False,False
voice,17,False,False,False
whatever,17,False,False,False
came,17,False,False,False
adequate,17,False,False,False
former,17,False,False,False
"then,",17,True,False,False
early,17,False,False,False
Under,17,False,False,False
reserved,17,False,False,False
effective,17,False,False,False
"laws,",17,True,False,False
territory,17,False,False,False
four,17,False,False,False
understand,17,False,False,False
existence,17,False,False,False
Vice,16,False,False,False
words,16,False,False,False
generation,16,False,False,False
provide,16,False,False,False
hand,16,False,False,False
encourage,16,False,False,False
commercial,16,False,False,False
practical,16,False,False,False
"all,",16,True,False,False
"which,",16,True,False,False
"today,",16,True,False,False
"Congress,",16,True,False,False
improvement,16,False,False,False
endeavor,16,False,False,False
pay,16,False,False,False
differences,16,False,False,False
join,16,False,False,False
something,16,False,False,False
"now,",16,True,False,False
personal,16,False,False,False
On,16,False,False,False
"Nation,",16,True,False,False
think,16,False,False,False
benefit,16,False,False,False
happiness,16,False,False,False
fail,16,False,False,False
patriotism,16,False,False,False
naval,16,False,False,False
seem,16,False,False,False
presence,16,False,False,False
higher,16,False,False,False
civilization,16,False,False,False
doubt,16,False,False,False
therefore,16,False,False,False
seeking,16,False,False,False
"be,",16,True,False,False
requires,16,False,False,False
private,16,False,False,False
independence,16,False,False,False
vast,16,False,False,False
At,16,False,False,False
rest,15,False,False,False
responsibilities,15,False,False,False
around,15,False,False,False
government.,15,True,False,False
nature,15,False,False,False
blood,15,False,False,False
all.,15,True,False,False
adoption,15,False,False,False
consider,15,False,False,False
"not,",15,True,False,False
countrymen,15,False,False,False
causes,15,False,False,False
possible,15,False,False,False
National,15,False,False,False
feel,15,False,False,False
growth,15,False,False,False
execute,15,False,False,False
continued,15,False,False,False
ability,15,False,False,False
enterprise,15,False,False,False
greatly,15,False,False,False
"life,",15,True,False,False
"me,",15,True,False,False
though,15,False,False,False
demands,15,False,False,False
away,15,False,False,False
destiny,15,False,False,False
methods,15,False,False,False
needs,15,False,False,False
chosen,15,False,False,False
family,15,False,False,False
officers,15,False,False,False
especially,15,False,False,False
ancient,15,False,False,False
tax,15,False,False,False
basis,15,False,False,False
enforcement,15,False,False,False
Their,15,False,False,False
power.,15,True,False,False
needed,15,False,False,False
none,15,False,False,False
forces,15,False,False,False
opinions,15,False,False,False
strengthen,15,False,False,False
together.,15,True,False,False
recent,15,False,False,False
time.,15,True,False,False
education,15,False,False,False
manner,15,False,False,False
fact,15,False,False,False
era,15,False,False,False
Great,15,False,False,False
"that,",15,True,False,False
settlement,14,False,False,False
show,14,False,False,False
position,14,False,False,False
science,14,False,False,False
enter,14,False,False,False
Now,14,False,False,False
dream,14,False,False,False
destroy,14,False,False,False
hard,14,False,False,False
clearly,14,False,False,False
development,14,False,False,False
experiment,14,False,False,False
sovereignty,14,False,False,False
hearts,14,False,False,False
drawn,14,False,False,False
encouragement,14,False,False,False
reduce,14,False,False,False
belief,14,False,False,False
myself,14,False,False,False
"Americans,",14,True,False,False
engaged,14,False,False,False
understanding,14,False,False,False
living,14,False,False,False
earnest,14,False,False,False
New,14,False,False,False
instead,14,False,False,False
modern,14,False,False,False
offer,14,False,False,False
resolve,14,False,False,False
"this,",14,True,False,False
Some,14,False,False,False
May,14,False,False,False
move,14,False,False,False
beginning,14,False,False,False
Administration,14,False,False,False
"others,",14,True,False,False
value,14,False,False,False
supreme,14,False,False,False
increasing,14,False,False,False
required,14,False,False,False
terms,14,False,False,False
special,14,False,False,False
unity,14,False,False,False
extend,14,False,False,False
unite,14,False,False,False
rich,14,False,False,False
"President,",14,True,False,False
pursued,14,False,False,False
matters,14,False,False,False
simple,14,False,False,False
number,14,False,False,False
Nation.,13,True,False,False
"history,",13,True,False,False
slavery,13,False,False,False
powers.,13,True,False,False
brought,13,False,False,False
hopes,13,False,False,False
coast,13,False,False,False
respective,13,False,False,False
learn,13,False,False,False
entire,13,False,False,False
wealth,13,False,False,False
results,13,False,False,False
"commerce,",13,True,False,False
World,13,False,False,False
me.,13,True,False,False
open,13,False,False,False
God.,13,True,False,False
friendly,13,False,False,False
person,13,False,False,False
mutual,13,False,False,False
views,13,False,False,False
cost,13,False,False,False
Those,13,False,False,False
save,13,False,False,False
light,13,False,False,False
became,13,False,False,False
industry,13,False,False,False
vital,13,False,False,False
struggle,13,False,False,False
remains,13,False,False,False
assume,13,False,False,False
patriotic,13,False,False,False
perform,13,False,False,False
European,13,False,False,False
immediate,13,False,False,False
conflict,13,False,False,False
continuance,13,False,False,False
claim,13,False,False,False
ago,13,False,False,False
add,13,False,False,False
Every,13,False,False,False
granted,13,False,False,False
enforce,13,False,False,False
practice,13,False,False,False
North,13,False,False,False
mankind,13,False,False,False
conscience,13,False,False,False
built,13,False,False,False
property,13,False,False,False
official,13,False,False,False
"other,",13,True,False,False
prescribed,13,False,False,False
rules,13,False,False,False
protected,13,False,False,False
devotion,13,False,False,False
maintenance,13,False,False,False
You,13,False,False,False
intercourse,13,False,False,False
poverty,13,False,False,False
reform,13,False,False,False
appear,13,False,False,False
building,13,False,False,False
case,13,False,False,False
One,13,False,False,False
sometimes,13,False,False,False
policies,13,False,False,False
however,13,False,False,False
increased,13,False,False,False
Thank,13,False,False,False
Fellow-Citizens:,13,True,False,False
others.,12,True,False,False
burdens,12,False,False,False
surplus,12,False,False,False
sought,12,False,False,False
constantly,12,False,False,False
history.,12,True,False,False
restore,12,False,False,False
supported,12,False,False,False
truth,12,False,False,False
least,12,False,False,False
lies,12,False,False,False
cherish,12,False,False,False
mankind.,12,True,False,False
establish,12,False,False,False
taxes,12,False,False,False
Nation's,12,True,False,True
small,12,False,False,False
taking,12,False,False,False
deep,12,False,False,False
late,12,False,False,False
"God,",12,True,False,False
generous,12,False,False,False
issue,12,False,False,False
program,12,False,False,False
create,12,False,False,False
permit,12,False,False,False
"hope,",12,True,False,False
fathers,12,False,False,False
realize,12,False,False,False
mean,12,False,False,False
along,12,False,False,False
"man,",12,True,False,False
currency,12,False,False,False
useful,12,False,False,False
expected,12,False,False,False
return,12,False,False,False
member,12,False,False,False
proud,12,False,False,False
"system,",12,True,False,False
forth,12,False,False,False
"indeed,",12,True,False,False
path,12,False,False,False
express,12,False,False,False
legitimate,12,False,False,False
prosperous,12,False,False,False
amount,12,False,False,False
standards,12,False,False,False
abroad,12,False,False,False
chance,12,False,False,False
will.,12,True,False,False
lasting,12,False,False,False
faithfully,12,False,False,False
rests,12,False,False,False
seems,12,False,False,False
committed,12,False,False,False
forever,12,False,False,False
failure,12,False,False,False
difference,12,False,False,False
except,12,False,False,False
"so,",12,True,False,False
War,12,False,False,False
destruction,12,False,False,False
adopt,12,False,False,False
passion,12,False,False,False
"powers,",12,True,False,False
likely,12,False,False,False
democracy.,12,True,False,False
second,12,False,False,False
perhaps,12,False,False,False
liberty.,12,True,False,False
credit,12,False,False,False
spirit.,12,True,False,False
young,11,False,False,False
considered,11,False,False,False
heretofore,11,False,False,False
elected,11,False,False,False
term,11,False,False,False
evil,11,False,False,False
close,11,False,False,False
wisely,11,False,False,False
journey,11,False,False,False
"principle,",11,True,False,False
pass,11,False,False,False
achieve,11,False,False,False
majority,11,False,False,False
provision,11,False,False,False
practicable,11,False,False,False
amendment,11,False,False,False
concern,11,False,False,False
productive,11,False,False,False
coming,11,False,False,False
used,11,False,False,False
integrity,11,False,False,False
republican,11,False,False,False
precious,11,False,False,False
Many,11,False,False,False
avoid,11,False,False,False
strive,11,False,False,False
liberal,11,False,False,False
Old,11,False,False,False
based,11,False,False,False
interests.,11,True,False,False
govern,11,False,False,False
communities,11,False,False,False
guidance,11,False,False,False
Yet,11,False,False,False
matter,11,False,False,False
sustained,11,False,False,False
connected,11,False,False,False
good.,11,True,False,False
makes,11,False,False,False
accomplish,11,False,False,False
again.,11,True,False,False
leading,11,False,False,False
turning,11,False,False,False
point,11,False,False,False
separate,11,False,False,False
deeply,11,False,False,False
sections,11,False,False,False
half,11,False,False,False
wars,11,False,False,False
branch,11,False,False,False
narrow,11,False,False,False
Constitution.,11,True,False,False
peculiar,11,False,False,False
firm,11,False,False,False
"prosperity,",11,True,False,False
above,11,False,False,False
learned,11,False,False,False
role,11,False,False,False
preserved,11,False,False,False
expenditures,11,False,False,False
Washington,11,False,False,False
citizenship,11,False,False,False
organization,11,False,False,False
class,11,False,False,False
false,11,False,False,False
events,11,False,False,False
direct,11,False,False,False
serious,11,False,False,False
establishment,11,False,False,False
distant,11,False,False,False
Treasury,11,False,False,False
celebrate,11,False,False,False
truly,11,False,False,False
rights.,11,True,False,False
fundamental,11,False,False,False
production,11,False,False,False
depend,11,False,False,False
advantage,11,False,False,False
democratic,11,False,False,False
values,11,False,False,False
cooperation,11,False,False,False
products,11,False,False,False
successful,11,False,False,False
benefits,11,False,False,False
age,11,False,False,False
rewards,11,False,False,False
capital,11,False,False,False
growing,11,False,False,False
armed,11,False,False,False
"another,",11,True,False,False
"friends,",11,True,False,False
event,11,False,False,False
abuses,11,False,False,False
affairs,11,False,False,False
met,11,False,False,False
officer,10,False,False,False
battle,10,False,False,False
declared,10,False,False,False
necessities,10,False,False,False
appointment,10,False,False,False
short,10,False,False,False
hand.,10,True,False,False
devoted,10,False,False,False
consequences,10,False,False,False
construction,10,False,False,False
suffrage,10,False,False,False
surely,10,False,False,False
she,10,False,False,False
"faith,",10,True,False,False
disposition,10,False,False,False
"responsibility,",10,True,False,False
mass,10,False,False,False
voices,10,False,False,False
scarcely,10,False,False,False
themselves.,10,True,False,False
road,10,False,False,False
sacrifice,10,False,False,False
financial,10,False,False,False
existing,10,False,False,False
preserving,10,False,False,False
added,10,False,False,False
information,10,False,False,False
accepted,10,False,False,False
bonds,10,False,False,False
lift,10,False,False,False
wrong,10,False,False,False
leaders,10,False,False,False
force.,10,True,False,False
"force,",10,True,False,False
recommend,10,False,False,False
formed,10,False,False,False
generations,10,False,False,False
depression,10,False,False,False
vision,10,False,False,False
larger,10,False,False,False
determination,10,False,False,False
comes,10,False,False,False
grant,10,False,False,False
leadership,10,False,False,False
strengthened,10,False,False,False
departments,10,False,False,False
changes,10,False,False,False
maintaining,10,False,False,False
steps,10,False,False,False
parts,10,False,False,False
Here,10,False,False,False
.,10,True,False,False
thereby,10,False,False,False
advancement,10,False,False,False
suffer,10,False,False,False
satisfaction,10,False,False,False
"order,",10,True,False,False
fire,10,False,False,False
arise,10,False,False,False
born,10,False,False,False
God's,10,True,False,True
"itself,",10,True,False,False
sure,10,False,False,False
capacity,10,False,False,False
enjoy,10,False,False,False
politics,10,False,False,False
health,10,False,False,False
nearly,10,False,False,False
Earth.,10,True,False,False
relief,10,False,False,False
everything,10,False,False,False
profound,10,False,False,False
action.,10,True,False,False
follow,10,False,False,False
relation,10,False,False,False
hundred,10,False,False,False
affairs.,10,True,False,False
other.,10,True,False,False
entitled,10,False,False,False
maintained,10,False,False,False
reflect,10,False,False,False
source,10,False,False,False
received,10,False,False,False
waste,10,False,False,False
renew,10,False,False,False
"Justice,",10,True,False,False
do.,10,True,False,False
department,10,False,False,False
remedy,10,False,False,False
contest,10,False,False,False
civilization.,10,True,False,False
offices,10,False,False,False
threat,10,False,False,False
direction,10,False,False,False
generally,10,False,False,False
service.,10,True,False,False
persons,10,False,False,False
judicial,10,False,False,False
citizens.,10,True,False,False
knowing,10,False,False,False
negro,10,False,False,False
consistent,10,False,False,False
tendency,10,False,False,False
homes,10,False,False,False
"interests,",10,True,False,False
functions,10,False,False,False
decisions,9,False,False,False
dangerous,9,False,False,False
soul,9,False,False,False
adapted,9,False,False,False
"right,",9,True,False,False
"things,",9,True,False,False
"""the",9,True,False,False
"day,",9,True,False,False
"place,",9,True,False,False
subjects,9,False,False,False
limitations,9,False,False,False
spread,9,False,False,False
additional,9,False,False,False
Southern,9,False,False,False
enduring,9,False,False,False
steadily,9,False,False,False
office.,9,True,False,False
authorities,9,False,False,False
speedily,9,False,False,False
method,9,False,False,False
strict,9,False,False,False
invoke,9,False,False,False
near,9,False,False,False
off,9,False,False,False
situation,9,False,False,False
choice,9,False,False,False
branches,9,False,False,False
"land,",9,True,False,False
native,9,False,False,False
reforms,9,False,False,False
held,9,False,False,False
now.,9,True,False,False
natural,9,False,False,False
ordinary,9,False,False,False
reasonable,9,False,False,False
observe,9,False,False,False
revenues,9,False,False,False
enable,9,False,False,False
structure,9,False,False,False
welcome,9,False,False,False
blessed,9,False,False,False
counsel,9,False,False,False
directly,9,False,False,False
contributed,9,False,False,False
imperative,9,False,False,False
sympathy,9,False,False,False
mighty,9,False,False,False
weak,9,False,False,False
answer,9,False,False,False
home.,9,True,False,False
controversies,9,False,False,False
gave,9,False,False,False
wherever,9,False,False,False
exist,9,False,False,False
permitted,9,False,False,False
guide,9,False,False,False
proceed,9,False,False,False
performance,9,False,False,False
difficult,9,False,False,False
justly,9,False,False,False
necessarily,9,False,False,False
dreams,9,False,False,False
British,9,False,False,False
pledged,9,False,False,False
stands,9,False,False,False
importance.,9,True,False,False
doing,9,False,False,False
advantages,9,False,False,False
weight,9,False,False,False
injury,9,False,False,False
lines,9,False,False,False
loss,9,False,False,False
we're,9,True,False,True
command,9,False,False,False
fight,9,False,False,False
intrusted,9,False,False,False
victory,9,False,False,False
consent,9,False,False,False
aspirations,9,False,False,False
whilst,9,False,False,False
countries.,9,True,False,False
markets,9,False,False,False
intended,9,False,False,False
privilege,9,False,False,False
Today,9,False,False,False
Nations,9,False,False,False
"again,",9,True,False,False
stability,9,False,False,False
concerns,9,False,False,False
final,9,False,False,False
Presidential,9,False,False,False
Texas,9,False,False,False
"administration,",9,True,False,False
alliances,9,False,False,False
sides,9,False,False,False
sentiment,9,False,False,False
"resources,",9,True,False,False
difficulties,9,False,False,False
interstate,9,False,False,False
plans,9,False,False,False
cultivate,9,False,False,False
friendship,9,False,False,False
free.,9,True,False,False
pride,9,False,False,False
felt,9,False,False,False
schools,9,False,False,False
stronger,9,False,False,False
ground,9,False,False,False
led,9,False,False,False
proved,9,False,False,False
army,9,False,False,False
competent,9,False,False,False
declare,9,False,False,False
Congress.,9,True,False,False
taxation,9,False,False,False
session,9,False,False,False
foundations,9,False,False,False
4,9,False,True,False
limited,9,False,False,False
proof,9,False,False,False
"said,",9,True,False,False
"course,",9,True,False,False
ample,9,False,False,False
internal,9,False,False,False
hear,9,False,False,False
